x	y	name
0	0	
1	2	😗
1	354	ü
1	2	😍
1	2	😴
1	2	😧
1	2	😂
1	2	😷
1	2	😨
1	6	ğ
1	2	😰
1	2	😸
1	1660	a
1	2	☺
1	2	😖
1	442	ş
1	2	😛
1	251	u
1	2	😞
1	2	😋
1	2	😙
1	2	😎
1	0	`
1	2	😀
1	6	â
1	2	😇
1	2	😫
1	2	😤
1	2	😑
1	2	😕
1	2	😯
1	2	😱
1	2	😬
1	2	😳
1	2	😜
1	2	😭
1	2	😺
1	2	😁
1	299	ö
1	2	😈
1	2	😩
1	2	😆
1	133	ı
1	2	😝
1	2	😠
1	2	😃
1	2	😒
1	2	😶
1	2	☻
1	2	😌
1	2	😟
1	2	😔
1	1125	i
1	2	😏
1	0	ĥ
1	2	😽
1	2	😐
1	2	🙀
1	2	😘
1	2	😲
1	2	😓
1	2	😪
1	2	😡
1	2	☹
1	683	ç
1	0	»
1	2	😹
1	2	😦
1	2	😉
1	2	😼
1	2	😣
1	2	😻
1	2	😮
1	2	😊
1	2	😥
1	2	😅
1	2	😾
1	2	😢
1	2	😄
1	2	😵
1	2	😚
1	0	á
1	2	😿
2	44	ü'
2	63	şi
2	44	ö′
2	44	ü’
2	0	ç.
2	44	öʼ
2	1	😨l
2	3	ığ
2	2	öö
2	1	âd
2	1	ıy
2	9	öy
2	1	😛l
2	24	ür
2	19	ır
2	1	😉l
2	0	ş.
2	44	ç’
2	0	çs
2	2	öş
2	44	üʼ
2	4	öb
2	0	ĥa
2	1	😃l
2	86	ad
2	2	ög
2	44	ı'
2	7	ız
2	75	am
2	44	ö'
2	0	üğ
2	1	😖l
2	168	şa
2	1	😴l
2	1	üü
2	1	😁l
2	44	ö´
2	1	😭l
2	1	😆l
2	1	😳l
2	64	şu
2	1	😷l
2	1	😣l
2	109	çi
2	397	al
2	0	çy
2	0	üa
2	1	😿l
2	14	ıl
2	1	😰l
2	1	😮l
2	15	öc
2	1	😔l
2	214	ça
2	93	çı
2	90	ör
2	118	aş
2	3	üc
2	44	ı′
2	1	😪l
2	1	😸l
2	0	şt
2	7	üf
2	1	😀l
2	1	☻l
2	0	öi
2	51	üş
2	0	âz
2	44	ö’
2	2	ık
2	22	ış
2	0	çg
2	0	án
2	44	ıʼ
2	1	üd
2	1	😗l
2	1	😾l
2	0	ğ.
2	1	😼l
2	44	ğ'
2	187	as
2	44	ş'
2	2	ös
2	44	çʼ
2	1	😤l
2	44	şʼ
2	0	üb
2	44	ş’
2	1	😦l
2	44	ş′
2	124	az
2	47	ıs
2	0	ö.
2	0	ât
2	1	🙀l
2	455	üç
2	0	ük
2	1	😒l
2	44	ğ’
2	0	ü.
2	0	üg
2	1	😈l
2	4	öf
2	44	ü′
2	56	üz
2	2	şn
2	1	😘l
2	59	öt
2	7	üm
2	1	😫l
2	1	😻l
2	9	ül
2	1	😶l
2	1	😢l
2	6	ıh
2	44	ü´
2	1	😇l
2	44	ş´
2	1	😂l
2	50	öv
2	1	😟l
2	58	ço
2	49	öp
2	0	çn
2	1	😐l
2	138	çe
2	1	😹l
2	57	ün
2	1	☹l
2	1	😍l
2	1	😕l
2	12	şü
2	9	ök
2	1	😡l
2	1	ıı
2	1	😋l
2	1	😞l
2	143	at
2	1	😱l
2	1	öh
2	1	😽l
2	115	öz
2	32	şı
2	44	ç′
2	1	😥l
2	1	😠l
2	1	😏l
2	2	âl
2	5	üv
2	1	😵l
2	1	😅l
2	21	şo
2	4	ıt
2	44	ç´
2	1	😯l
2	1	😩l
2	44	ı’
2	1	😚l
2	12	şö
2	38	öç
2	1	😲l
2	0	çh
2	70	üs
2	61	ur
2	0	âs
2	2	âş
2	1	😝l
2	114	şe
2	52	üt
2	3	ıv
2	1	😑l
2	53	çö
2	3	öm
2	44	ğ´
2	31	öğ
2	62	öd
2	1	😜l
2	1	😓l
2	63	öl
2	44	ç'
2	2	üh
2	1	😌l
2	4	şş
2	2	üy
2	1	😧l
2	95	ön
2	1	😺l
2	1	şû
2	1	😙l
2	1	şâ
2	19	çu
2	1	âm
2	1	😊l
2	1	😄l
2	44	ı´
2	1	😬l
2	0	i̇
2	1	ın
2	1	☺l
2	1	😎l
2	9	çü
2	44	ğʼ
2	44	ğ′
3	8	ö'l
3	3	ğʼd
3	61	üte
3	48	😢le
3	0	ö.´
3	9	şır
3	54	şef
3	0	öss
3	23	ş'n
3	1	üür
3	8	ş′l
3	9	ğ’y
3	19	çır
3	91	çav
3	3	ö′d
3	0	öry
3	18	şeh
3	0	ökd
3	9	ı′y
3	2	üry
3	0	ösy
3	1	ömü
3	0	ğ.g
3	54	çöp
3	48	😳le
3	0	ç.'
3	0	üçp
3	0	i̇ö
3	3	şu 
3	1	şüp
3	61	öle
3	0	i̇m
3	116	çek
3	50	örk
3	8	ç'l
3	0	öym
3	0	çuğ
3	23	ş’n
3	0	çüs
3	1	şşl
3	8	çin
3	3	çıl
3	1	ümr
3	0	ökk
3	9	ğ’c
3	9	ğʼc
3	0	üng
3	3	çiç
3	0	ş.ʼ
3	1	örc
3	23	üʼn
3	8	ü′l
3	8	ğ'l
3	48	😛le
3	12	ami
3	10	üzm
3	1	önş
3	9	öns
3	1	önt
3	9	ğ´c
3	64	şan
3	58	çay
3	56	öcü
3	17	üçe
3	45	ünʼ
3	9	ş'y
3	2	ırı
3	0	i̇e
3	27	öne
3	0	çhd
3	13	üzü
3	1	ünk
3	50	şua
3	0	i̇h
3	9	ü'y
3	0	üz'
3	2	özv
3	48	😒le
3	3	şiz
3	48	😈le
3	2	çik
3	0	üçd
3	48	😉le
3	0	ök’
3	48	😖le
3	0	ökt
3	48	😅le
3	0	çnü
3	53	ılı
3	2	özk
3	5	ı´s
3	5	şʼs
3	0	ğ.ʼ
3	58	çıt
3	55	çiz
3	0	i̇ü
3	49	öke
3	56	çil
3	4	şın
3	77	şak
3	0	i̇d
3	3	çom
3	1	şâi
3	23	ü'n
3	8	ş’l
3	55	şey
3	2	ısm
3	1	şıv
3	1	öçk
3	37	üçü
3	53	ölç
3	5	ö′s
3	48	☺le
3	0	özç
3	0	öys
3	55	şer
3	54	şev
3	48	😰le
3	5	üni
3	53	şov
3	23	ıʼn
3	0	ü.y
3	48	😟le
3	5	ütt
3	10	ölm
3	0	i̇l
3	0	üço
3	5	şay
3	7	şul
3	0	i̇c
3	9	çʼy
3	0	ökl
3	109	çal
3	1	ülg
3	48	😄le
3	0	çsd
3	48	😴le
3	65	üze
3	1	ızr
3	0	ç.ʼ
3	0	i̇r
3	0	çon
3	48	😽le
3	2	ıhl
3	57	ütü
3	48	😸le
3	48	😫le
3	5	öts
3	48	😍le
3	1	ury
3	2	çıp
3	2	ümi
3	0	üak
3	75	aşı
3	0	şti
3	48	😻le
3	51	şuh
3	0	çöt
3	23	ı’n
3	48	ürü
3	0	ümn
3	59	üşü
3	1	şöl
3	0	ökc
3	48	😶le
3	4	şus
3	0	üğd
3	23	ö′n
3	3	üsc
3	2	ığr
3	1	çad
3	0	âti
3	2	şöv
3	48	😿le
3	1	şüm
3	1	ümm
3	2	çım
3	10	özc
3	2	üzg
3	2	üça
3	3	ıʼd
3	2	çuk
3	23	ğ′n
3	9	ğ´y
3	0	çüy
3	62	asi
3	0	öi̇
3	2	ögl
3	0	ürg
3	6	üsç
3	4	öçt
3	3	şai
3	1	ünv
3	23	ğʼn
3	0	çic
3	9	ı′c
3	15	ıtr
3	0	i̇s
3	5	ö´s
3	0	çü′
3	0	ü.′
3	48	😯le
3	9	ş′y
3	0	ş.i
3	48	☹le
3	5	ğʼs
3	0	öni
3	9	ısl
3	64	öre
3	0	ünt
3	50	üye
3	2	ızg
3	48	😤le
3	2	çıv
3	1	ülf
3	61	öve
3	1	şno
3	1	öme
3	1	ölg
3	9	ıʼc
3	1	şşş
3	25	ş’m
3	1	öfl
3	4	özn
3	3	ışk
3	48	😔le
3	0	ö.g
3	0	ş.e
3	0	çü.
3	3	ğ’d
3	0	ğ.l
3	48	😲le
3	13	şim
3	1	öşü
3	0	önn
3	6	öyl
3	9	ş'c
3	7	üns
3	9	şem
3	0	çoş
3	3	önb
3	9	ç′c
3	8	ç´l
3	0	ç.′
3	55	örs
3	68	üçm
3	14	özr
3	3	ş′d
3	1	ült
3	1	övg
3	1	ğʼ 
3	2	çop
3	48	😡le
3	0	ğ.c
3	52	çük
3	48	😑le
3	0	ökm
3	0	i̇y
3	48	😃le
3	2	şed
3	8	çʼl
3	1	ş’ 
3	0	ş.’
3	2	çut
3	1	çıd
3	2	şii
3	5	övd
3	48	😜le
3	0	ö.d
3	0	çeb
3	8	ı’l
3	2	ümü
3	61	şal
3	45	üs′
3	43	özü
3	0	çgm
3	0	i̇’
3	48	😣le
3	0	âzi
3	8	ş'l
3	2	ızb
3	63	üşe
3	8	ğʼl
3	0	ğ.i
3	7	ıst
3	7	üçk
3	8	ç′l
3	53	ürk
3	3	özb
3	10	özy
3	16	önc
3	45	öçʼ
3	0	ş.g
3	0	çü’
3	59	şıp
3	53	şip
3	55	şat
3	0	özt
3	2	şşt
3	45	öç′
3	49	şek
3	55	çan
3	48	😪le
3	0	i̇ç
3	12	çen
3	0	öşm
3	2	üle
3	60	çık
3	1	ökç
3	62	örü
3	4	üşt
3	9	ç′y
3	1	üls
3	23	ö’n
3	9	ğ'y
3	0	çüm
3	17	ötü
3	3	ırg
3	0	ğ.s
3	0	i̇p
3	0	ü.'
3	23	ü’n
3	0	çsc
3	6	çoc
3	0	şuğ
3	1	çuş
3	23	ö´n
3	0	i̇f
3	23	ş′n
3	5	ısp
3	2	şab
3	45	öd'
3	56	çığ
3	60	ısı
3	2	çob
3	1	şüy
3	0	üge
3	48	😘le
3	2	ıkı
3	0	ş.y
3	0	üçv
3	1	çıy
3	56	çor
3	5	üzs
3	1	âle
3	0	ö.'
3	1	şûr
3	58	şeb
3	48	😌le
3	0	ödp
3	2	ızd
3	3	ğ′d
3	52	ırk
3	48	😼le
3	48	😵le
3	1	çün
3	2	üçg
3	54	çul
3	0	i̇a
3	69	çak
3	0	çsg
3	0	çül
3	1	ınc
3	2	şit
3	5	ö's
3	8	üçl
3	25	ş′m
3	0	übü
3	7	şur
3	9	ç'y
3	48	😝le
3	52	çöm
3	6	çol
3	48	😬le
3	45	üsʼ
3	0	ö.′
